danceability,energy,valence,acousticness,speechiness,loudness,track_genre
Medium,High,Low,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
Medium,High,Low,Low,Low,Loud,breakbeat
Medium,High,Low,Low,Low,Loud,breakbeat
High,Medium,Medium,Low,Low,Loud,breakbeat
Medium,High,High,Low,Low,Loud,breakbeat
High,High,High,Low,Low,Loud,breakbeat
Medium,High,Low,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
Medium,High,Low,Low,Low,Medium,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
High,High,Low,Low,Low,Loud,breakbeat
High,High,Low,Low,Low,Loud,breakbeat
Low,High,Medium,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
High,Medium,Low,Low,Low,Loud,breakbeat
Medium,High,Low,Low,Low,Loud,breakbeat
Medium,High,High,Low,Low,Loud,breakbeat
Low,High,Medium,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
Medium,High,Low,Low,Low,Medium,breakbeat
Medium,High,High,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
Medium,High,Low,Low,Low,Loud,breakbeat
Medium,High,High,Low,Medium,Loud,breakbeat
High,High,Low,Low,Low,Loud,breakbeat
Medium,High,Low,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
High,Medium,Medium,Low,Low,Medium,breakbeat
High,High,High,Medium,Low,Loud,breakbeat
Medium,High,Low,Low,Low,Loud,breakbeat
Medium,High,Low,Low,Low,Loud,breakbeat
Medium,High,High,Low,Low,Loud,breakbeat
Medium,High,Low,Low,Low,Loud,breakbeat
Medium,Medium,Low,Low,Low,Loud,breakbeat
Medium,High,Low,Low,Low,Loud,breakbeat
Medium,Medium,Low,Medium,Low,Loud,breakbeat
High,Medium,Medium,Low,Low,Loud,breakbeat
Medium,High,High,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
Medium,High,Low,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
Medium,High,High,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
Medium,High,High,Low,Low,Loud,breakbeat
High,High,High,Low,Low,Loud,breakbeat
High,High,Low,Low,Low,Loud,breakbeat
High,High,Low,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
Medium,Medium,Low,Medium,Low,Loud,breakbeat
Medium,Medium,Medium,Low,Low,Loud,breakbeat
Medium,High,Low,Low,Low,Loud,breakbeat
Medium,High,Low,Low,Low,Loud,breakbeat
Medium,High,High,Low,Low,Loud,breakbeat
High,High,High,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
Medium,High,Low,Low,Low,Loud,breakbeat
Medium,High,Low,Low,Low,Loud,breakbeat
Medium,Medium,Low,Low,Low,Loud,breakbeat
High,High,Low,Low,Low,Medium,breakbeat
Medium,High,High,Low,Low,Loud,breakbeat
High,Medium,Low,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Medium,breakbeat
High,High,Low,Low,Low,Loud,breakbeat
High,Medium,Medium,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
Medium,High,High,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Medium,breakbeat
High,Medium,High,Low,Low,Medium,breakbeat
Medium,Medium,Medium,Medium,Low,Medium,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
Medium,High,Low,Low,Low,Loud,breakbeat
High,High,Low,Low,Low,Loud,breakbeat
High,High,High,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
High,High,High,Low,Low,Loud,breakbeat
High,High,High,Low,Low,Loud,breakbeat
Medium,High,Low,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
Medium,High,Low,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
Medium,High,Low,Low,Low,Loud,breakbeat
High,High,High,Low,Low,Loud,breakbeat
Medium,High,Low,Low,Low,Loud,breakbeat
Medium,High,Low,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
High,High,Low,Low,Low,Loud,breakbeat
Medium,Medium,Low,Low,Low,Loud,breakbeat
High,High,Low,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
Medium,High,High,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
High,High,High,Low,Low,Loud,breakbeat
High,High,High,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
High,High,Low,Low,Low,Loud,breakbeat
Medium,High,High,Low,Low,Loud,breakbeat
Medium,High,High,Low,Low,Loud,breakbeat
High,High,Low,Low,Low,Loud,breakbeat
High,High,High,Low,Low,Loud,breakbeat
Medium,High,Low,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
High,High,Low,Low,Low,Loud,breakbeat
High,High,Low,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
High,High,High,Low,Low,Medium,breakbeat
High,High,Low,Low,Low,Loud,breakbeat
Medium,High,Low,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
High,High,High,Low,Medium,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
Low,High,Medium,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
High,High,Low,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
Medium,High,High,Low,Low,Loud,breakbeat
Medium,High,Low,Low,Low,Loud,breakbeat
Medium,High,High,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
Medium,High,Low,Low,Low,Loud,breakbeat
High,High,High,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
Medium,High,High,Low,Low,Loud,breakbeat
Medium,Medium,High,Low,Low,Medium,breakbeat
High,High,Medium,Medium,Low,Loud,breakbeat
Medium,High,Low,Low,Low,Loud,breakbeat
High,High,High,Low,Low,Loud,breakbeat
Medium,High,Low,Low,Low,Loud,breakbeat
High,High,Low,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
High,High,High,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
High,High,High,Low,Low,Loud,breakbeat
High,High,Low,Low,Low,Loud,breakbeat
High,High,High,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
High,High,High,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
Medium,High,Low,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
High,Medium,Low,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
High,Medium,Medium,Low,Low,Medium,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
High,High,Low,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
Medium,High,Low,Low,Low,Loud,breakbeat
High,Medium,Low,Low,Low,Medium,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
High,High,High,Low,Low,Loud,breakbeat
High,High,Low,Low,Low,Loud,breakbeat
High,High,Low,Low,Low,Loud,breakbeat
High,High,High,Low,Low,Loud,breakbeat
Medium,High,High,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
Medium,High,High,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
High,High,High,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
Medium,High,Low,Low,Low,Loud,breakbeat
Medium,High,Low,Low,Low,Loud,breakbeat
Medium,High,Low,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
Medium,High,Low,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
Medium,High,Low,Low,Low,Medium,breakbeat
Medium,High,Low,Low,Low,Loud,breakbeat
High,High,High,Low,Low,Medium,breakbeat
High,Medium,Medium,Low,Low,Medium,breakbeat
Medium,High,Low,Low,Low,Loud,breakbeat
High,High,Low,Low,Low,Loud,breakbeat
High,High,High,Low,Low,Loud,breakbeat
High,High,High,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
Medium,Medium,Medium,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
Low,High,Medium,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
High,Medium,Medium,Low,Low,Loud,breakbeat
Medium,High,Low,Low,Low,Loud,breakbeat
High,High,Low,Low,Low,Loud,breakbeat
High,High,Low,Low,Low,Loud,breakbeat
High,Medium,High,Low,Low,Loud,breakbeat
High,High,Medium,Medium,Low,Loud,breakbeat
High,High,High,Low,Low,Loud,breakbeat
Medium,High,Low,Low,Low,Medium,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
Medium,Medium,Low,Medium,Low,Loud,breakbeat
High,Medium,Medium,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
Medium,High,Low,Low,Low,Medium,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
High,High,Low,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Medium,breakbeat
High,Medium,High,Low,Low,Loud,breakbeat
Medium,High,Low,Low,Medium,Loud,breakbeat
High,High,Low,Low,Low,Loud,breakbeat
High,High,Low,Low,Low,Loud,breakbeat
Medium,Medium,Medium,Medium,Low,Medium,breakbeat
High,High,Medium,Low,Low,Medium,breakbeat
Medium,Medium,Low,Low,Low,Loud,breakbeat
High,High,Low,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
Medium,High,Low,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
High,Medium,Low,Low,Low,Medium,breakbeat
Medium,Medium,Low,Low,Low,Loud,breakbeat
Medium,High,Low,Low,Low,Loud,breakbeat
High,High,Low,Low,Low,Loud,breakbeat
High,High,Low,Low,Low,Loud,breakbeat
Medium,High,Low,Low,Low,Loud,breakbeat
High,High,High,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
Medium,High,Low,Low,Low,Medium,breakbeat
High,High,High,Low,Low,Loud,breakbeat
High,High,High,Low,Low,Loud,breakbeat
Medium,High,Low,Low,Low,Loud,breakbeat
High,High,Low,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
High,High,High,Low,Low,Loud,breakbeat
High,High,High,Low,Low,Loud,breakbeat
High,Medium,Medium,Low,Low,Medium,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
Medium,High,High,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
High,High,Medium,Low,Medium,Loud,breakbeat
Medium,Medium,Low,Low,Low,Quiet,breakbeat
High,High,High,Low,Low,Loud,breakbeat
Medium,High,Low,Low,Low,Loud,breakbeat
Medium,Medium,Medium,Low,Low,Loud,breakbeat
High,High,High,Low,Low,Loud,breakbeat
Medium,High,Low,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Medium,Loud,breakbeat
Medium,High,Low,Low,Low,Loud,breakbeat
Medium,High,Low,Low,Low,Loud,breakbeat
High,High,High,Low,Low,Loud,breakbeat
Medium,High,High,Low,Low,Loud,breakbeat
High,High,Low,Low,Low,Loud,breakbeat
High,Medium,Low,Low,Low,Loud,breakbeat
Medium,Medium,Medium,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
High,High,Low,Low,Low,Medium,breakbeat
High,High,Low,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
High,High,High,Low,Low,Loud,breakbeat
High,High,Low,Low,Low,Loud,breakbeat
Medium,High,Low,Low,Low,Loud,breakbeat
Medium,High,Low,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
High,High,High,Low,Low,Loud,breakbeat
Medium,High,Low,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
High,High,High,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
High,High,Low,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
High,High,High,Low,Low,Loud,breakbeat
Medium,High,Low,Low,Low,Loud,breakbeat
High,High,High,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
High,High,High,Low,Low,Loud,breakbeat
Medium,High,Low,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
High,High,High,Low,Low,Medium,breakbeat
Medium,High,High,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
High,High,Low,Low,Low,Loud,breakbeat
High,High,Low,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Medium,breakbeat
High,High,High,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
High,High,High,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
Medium,High,High,Low,Low,Loud,breakbeat
High,Medium,Low,Low,Low,Medium,breakbeat
Medium,High,Low,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
High,High,High,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
High,High,High,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
Medium,High,High,Low,Low,Loud,breakbeat
Medium,High,High,Low,Low,Loud,breakbeat
Medium,High,High,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
High,High,High,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
High,Medium,Low,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
Medium,High,High,Low,Low,Medium,breakbeat
Medium,High,High,Low,Low,Loud,breakbeat
Medium,High,High,Low,Low,Medium,breakbeat
High,High,Medium,Low,Medium,Loud,breakbeat
Medium,High,Low,Low,Low,Loud,breakbeat
High,High,Low,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
High,High,High,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
High,High,High,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Medium,breakbeat
High,Medium,Medium,Low,Low,Loud,breakbeat
High,High,High,Low,Low,Loud,breakbeat
High,High,High,Low,Low,Loud,breakbeat
Medium,High,High,Low,Low,Loud,breakbeat
High,High,High,Low,Low,Loud,breakbeat
High,High,Low,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
Low,High,Medium,Low,Low,Loud,breakbeat
High,High,High,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
Medium,High,Low,Low,Low,Loud,breakbeat
High,High,Low,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
Medium,High,Low,Low,Low,Loud,breakbeat
Medium,High,Low,Low,Low,Medium,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
High,High,Low,Low,Low,Loud,breakbeat
Medium,High,Low,Low,Low,Loud,breakbeat
Medium,Medium,Medium,Low,Low,Quiet,breakbeat
High,High,Medium,Low,Low,Medium,breakbeat
High,High,High,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
Medium,High,High,Low,Low,Loud,breakbeat
Medium,Medium,Medium,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
Medium,Medium,High,Low,Low,Medium,breakbeat
Medium,High,High,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
High,High,Medium,Low,Low,Loud,breakbeat
Medium,High,Medium,Low,Low,Loud,breakbeat
Medium,High,High,Low,Low,Medium,breakbeat
Medium,Medium,Low,Medium,Low,Loud,Other
Medium,High,Medium,Low,Low,Loud,Other
Medium,Low,Medium,High,Low,Loud,Other
Medium,Medium,Low,Medium,Low,Loud,Other
Medium,Low,Low,High,Low,Loud,Other
Medium,Medium,Low,Medium,Low,Loud,Other
Medium,Medium,Low,Low,Low,Loud,Other
Medium,High,Medium,Low,Low,Loud,Other
High,High,Medium,Low,Low,Loud,Other
High,Medium,Medium,Low,Low,Loud,Other
Medium,Medium,Low,Medium,Low,Loud,Other
Medium,Medium,Low,Low,Low,Loud,Other
Medium,High,Medium,Low,Low,Loud,Other
Medium,Low,Low,High,Low,Medium,Other
Medium,High,Low,Low,Low,Loud,Other
Medium,Medium,Medium,Low,Low,Medium,Other
Medium,Medium,Medium,Low,Low,Medium,Other
Medium,Low,Low,High,Low,Medium,Other
Medium,Medium,Medium,Medium,Low,Loud,Other
Medium,High,Medium,Low,Low,Loud,Other
Medium,High,Medium,Low,Low,Loud,Other
Medium,High,Medium,Low,Low,Loud,Other
Medium,High,High,Low,Low,Loud,Other
Medium,Medium,Medium,High,Low,Loud,Other
Medium,Medium,Low,Medium,Low,Loud,Other
Medium,High,High,Low,Low,Loud,Other
Medium,Low,Medium,Medium,Low,Loud,Other
Medium,High,Medium,Low,Low,Loud,Other
Medium,Medium,Low,Low,Low,Loud,Other
Medium,High,High,Low,Low,Loud,Other
Medium,Low,Low,High,Low,Medium,Other
Medium,High,Medium,Low,Low,Loud,Other
Medium,Low,Medium,High,Low,Medium,Other
Medium,Medium,Low,High,Low,Medium,Other
Medium,High,High,Low,Low,Loud,Other
Medium,High,Medium,Medium,Low,Medium,Other
High,Medium,High,High,Low,Loud,Other
Low,Low,Low,High,Low,Medium,Other
Medium,High,Medium,Medium,Low,Medium,Other
Low,Low,Medium,High,Low,Medium,Other
Medium,High,Medium,Medium,Low,Medium,Other
Medium,High,Medium,Medium,Low,Medium,Other
Medium,Low,Medium,High,Low,Medium,Other
High,High,High,Medium,Low,Loud,Other
Medium,Medium,Medium,Medium,Low,Loud,Other
Medium,Medium,Low,High,Low,Loud,Other
Medium,High,Medium,Low,Low,Loud,Other
Medium,High,High,Low,Low,Loud,Other
High,High,Medium,Low,Low,Loud,Other
High,High,Medium,Medium,Low,Loud,Other
Medium,Medium,Low,Low,Low,Loud,Other
Medium,High,Low,Low,Low,Loud,Other
Medium,Medium,Medium,Low,Low,Loud,Other
Medium,Medium,Low,High,Low,Loud,Other
Medium,Medium,Low,High,Low,Loud,Other
Medium,Medium,Low,Low,Low,Medium,Other
High,High,Medium,Low,Low,Loud,Other
High,Medium,Medium,Medium,Low,Medium,Other
Medium,High,Medium,Low,Low,Loud,Other
High,Low,Medium,High,Low,Medium,Other
Medium,High,Medium,Medium,Low,Loud,Other
Medium,Medium,Low,Low,Low,Loud,Other
Medium,High,High,Medium,Low,Loud,Other
Medium,Medium,Medium,Low,Low,Loud,Other
Medium,High,Medium,Low,Low,Loud,Other
High,High,High,Low,Low,Loud,Other
Medium,Low,Low,High,Low,Medium,Other
Medium,High,Medium,Low,Low,Loud,Other
High,High,High,Low,Low,Loud,Other
Medium,Medium,Medium,Medium,Low,Loud,Other
Medium,Medium,Medium,Medium,Low,Loud,Other
Medium,High,High,Medium,Low,Loud,Other
Medium,Medium,Medium,Low,Low,Medium,Other
High,High,Medium,Low,Low,Loud,Other
Medium,High,Medium,Low,Low,Loud,Other
High,Low,Low,High,Low,Loud,Other
Low,Low,Low,High,Low,Quiet,Other
Low,Low,Low,High,Low,Quiet,Other
Medium,Medium,Low,High,Low,Loud,Other
Low,Low,Low,High,Low,Medium,Other
High,High,Medium,Low,Low,Loud,Other
Medium,Medium,Medium,High,Low,Loud,Other
High,Medium,High,Medium,Low,Loud,Other
Medium,High,High,Medium,Low,Loud,Other
Medium,Low,Low,Medium,Low,Loud,Other
High,Medium,Medium,Low,Low,Loud,Other
High,High,High,Low,Low,Loud,Other
High,Medium,Medium,Medium,Low,Loud,Other
Medium,Medium,Medium,High,Low,Loud,Other
High,Medium,High,Low,Low,Medium,Other
Medium,Low,Low,High,Low,Quiet,Other
High,High,High,Low,Low,Loud,Other
Medium,Medium,Medium,High,Low,Loud,Other
Medium,High,High,Low,Low,Loud,Other
High,High,Medium,Low,Low,Loud,Other
Medium,Medium,Medium,Medium,Low,Loud,Other
Low,Medium,Medium,Low,Low,Loud,Other
High,Medium,Medium,Low,Low,Loud,Other
Medium,High,High,Low,Low,Loud,Other
Medium,Medium,Low,Low,Low,Loud,Other
Medium,High,High,Low,Low,Loud,Other
High,High,Low,Low,Low,Loud,Other
Medium,High,High,Low,Low,Loud,Other
Medium,Low,Medium,High,Low,Loud,Other
Medium,High,Medium,Low,Low,Loud,Other
High,Low,Low,High,Low,Loud,Other
Medium,Low,High,Medium,Low,Medium,Other
Medium,Medium,Medium,Low,Low,Medium,Other
Medium,Low,Low,High,Low,Medium,Other
Medium,Medium,Low,High,Low,Loud,Other
Medium,Low,Low,High,Low,Medium,Other
Medium,Medium,Low,Medium,Low,Medium,Other
Medium,Low,Medium,Medium,Low,Medium,Other
Medium,Medium,High,Low,Low,Loud,Other
Low,High,Low,Low,Low,Loud,Other
Medium,Medium,Medium,High,Low,Loud,Other
Medium,High,High,Low,Low,Loud,Other
Medium,High,Medium,Low,Low,Loud,Other
Medium,Medium,Low,Medium,Low,Loud,Other
High,Low,Medium,Medium,Low,Medium,Other
Medium,Low,High,High,Low,Loud,Other
High,Medium,Medium,Medium,Low,Loud,Other
Medium,High,High,Low,Low,Loud,Other
Medium,Low,Medium,High,Low,Loud,Other
Medium,Medium,Low,Medium,Low,Loud,Other
High,Medium,High,Low,Low,Loud,Other
High,Medium,High,Low,Low,Loud,Other
High,Medium,High,Low,Low,Loud,Other
Medium,Low,Low,High,Low,Loud,Other
Medium,Medium,Low,High,Low,Medium,Other
Medium,Low,Medium,High,Low,Loud,Other
Medium,High,Medium,Low,Low,Loud,Other
Medium,Low,Medium,High,Low,Quiet,Other
Medium,Medium,Low,Medium,Low,Medium,Other
Low,High,Low,Low,Low,Loud,Other
Medium,Medium,Low,Medium,Low,Medium,Other
Low,Low,Low,Medium,Low,Medium,Other
Low,Low,Low,High,Low,Quiet,Other
Medium,Medium,Medium,High,Low,Medium,Other
Medium,Medium,Low,High,Low,Medium,Other
High,Medium,Medium,Medium,Low,Loud,Other
Medium,Medium,Low,Medium,Low,Loud,Other
Medium,High,High,Low,Low,Loud,Other
Medium,Medium,Low,Low,Low,Loud,Other
Low,Low,Low,Medium,Low,Quiet,Other
High,Medium,Low,High,Low,Loud,Other
Low,Medium,Low,Low,Low,Loud,Other
Medium,Medium,Medium,Low,Low,Medium,Other
High,Medium,Medium,Medium,Low,Medium,Other
Medium,High,Low,Low,Low,Loud,Other
Medium,High,Medium,Low,Low,Loud,Other
Medium,High,High,Low,Low,Loud,Other
Medium,Medium,Low,High,Low,Medium,Other
Medium,Low,Low,High,Low,Loud,Other
Medium,Medium,Low,Medium,Low,Medium,Other
Low,Medium,High,Medium,Low,Medium,Other
Medium,Medium,High,Low,Low,Loud,Other
Low,Low,High,Low,Low,Loud,Other
Medium,Low,High,Medium,Low,Medium,Other
Medium,Medium,Medium,Medium,Low,Loud,Other
Low,Medium,Low,High,Low,Medium,Other
High,High,High,Medium,Low,Loud,Other
Medium,Medium,Medium,Medium,Low,Medium,Other
Medium,Medium,Medium,Low,Low,Loud,Other
Medium,High,High,Medium,Low,Medium,Other
Medium,Medium,Low,Medium,Low,Medium,Other
High,Medium,High,High,Low,Loud,Other
Medium,Medium,High,Low,Low,Medium,Other
Medium,Low,Medium,High,Low,Medium,Other
High,Medium,High,Low,Low,Medium,Other
Medium,Medium,Low,Medium,Low,Loud,Other
Medium,Medium,Low,Medium,Low,Loud,Other
Medium,Low,Medium,High,Low,Medium,Other
High,Medium,Medium,High,Low,Medium,Other
Medium,Low,Medium,High,Low,Medium,Other
Medium,Medium,Low,High,Low,Loud,Other
Medium,Low,Medium,High,Low,Medium,Other
High,High,Medium,Medium,Low,Loud,Other
Medium,Medium,Medium,High,Low,Loud,Other
High,Low,High,High,Low,Medium,Other
Low,Low,Low,High,Low,Quiet,Other
Medium,High,Medium,Low,Low,Loud,Other
Medium,Medium,Low,Low,Low,Loud,Other
Medium,Medium,Low,Low,Low,Loud,Other
High,Low,Low,Medium,Low,Loud,Other
Medium,Medium,Low,Low,Low,Loud,Other
Medium,Medium,Medium,High,Low,Medium,Other
Medium,Medium,Low,Medium,Low,Medium,Other
Medium,Low,Low,High,Low,Medium,Other
Medium,Medium,High,High,Low,Medium,Other
Medium,Low,Low,High,Low,Medium,Other
Low,Medium,Low,Medium,Low,Loud,Other
Medium,High,Medium,Medium,Low,Loud,Other
High,Medium,Low,Low,Low,Loud,Other
Medium,Low,Low,Low,Low,Medium,Other
Medium,High,High,Low,Low,Loud,Other
High,Medium,High,Low,Low,Loud,Other
Medium,Medium,Medium,Low,Low,Loud,Other
